Time,TrialID,Event,Details
2025-06-13 13:24:44.114,WMTEST1,StartEndBlock,
2025-06-13 13:24:44.129,WMTEST1,TrialOn,
2025-06-13 13:24:44.130,WMTEST1,Idle,
2025-06-13 13:24:47.000,WMTEST1,SampleOn,
2025-06-13 13:24:47.501,WMTEST1,SampleOff,
2025-06-13 13:24:47.502,WMTEST1,PostSampleDelay,
2025-06-13 13:24:48.000,WMTEST1,DistractorOn,
2025-06-13 13:24:48.501,WMTEST1,DistractorOff,
2025-06-13 13:24:48.502,WMTEST1,PreTargetDelay,
2025-06-13 13:24:50.500,WMTEST1,TargetOn,
2025-06-13 13:25:00.508,WMTEST1,AudioPlaying,
2025-06-13 13:25:00.509,WMTEST1,Choice,
2025-06-13 13:25:00.510,WMTEST1,Fail,
2025-06-13 13:25:01.512,WMTEST2,TrialOn,
2025-06-13 13:25:01.513,WMTEST2,Idle,
2025-06-13 13:25:03.507,WMTEST2,SampleOn,
2025-06-13 13:25:04.011,WMTEST2,SampleOff,
2025-06-13 13:25:04.012,WMTEST2,PostSampleDelay,
2025-06-13 13:25:04.515,WMTEST2,PreTargetDelay,
2025-06-13 13:25:07.515,WMTEST2,TargetOn,
