Timestamp,Status,Event,ByteSent
2025-06-13 13:24:44.123,TEST_ONLY,StartEndBlock,No Byte Sent
2025-06-13 13:24:44.129,TEST_ONLY,TrialOn,No Byte Sent
2025-06-13 13:24:44.130,LOG_ONLY,Idle,No Byte Sent
2025-06-13 13:24:47.004,TEST_ONLY,SampleOn,No Byte Sent
2025-06-13 13:24:47.502,TEST_ONLY,SampleOff,No Byte Sent
2025-06-13 13:24:47.503,LOG_ONLY,PostSampleDelay,No Byte Sent
2025-06-13 13:24:48.001,TEST_ONLY,DistractorOn,No Byte Sent
2025-06-13 13:24:48.501,TEST_ONLY,DistractorOff,No Byte Sent
2025-06-13 13:24:48.502,LOG_ONLY,PreTargetDelay,No Byte Sent
2025-06-13 13:24:50.500,TEST_ONLY,TargetOn,No Byte Sent
2025-06-13 13:25:00.509,LOG_ONLY,AudioPlaying,No Byte Sent
2025-06-13 13:25:00.509,TEST_ONLY,Choice,No Byte Sent
2025-06-13 13:25:00.510,LOG_ONLY,Fail,No Byte Sent
2025-06-13 13:25:01.513,TEST_ONLY,TrialOn,No Byte Sent
2025-06-13 13:25:01.513,LOG_ONLY,Idle,No Byte Sent
2025-06-13 13:25:03.507,TEST_ONLY,SampleOn,No Byte Sent
2025-06-13 13:25:04.011,TEST_ONLY,SampleOff,No Byte Sent
2025-06-13 13:25:04.012,LOG_ONLY,PostSampleDelay,No Byte Sent
2025-06-13 13:25:04.515,LOG_ONLY,PreTargetDelay,No Byte Sent
2025-06-13 13:25:07.515,TEST_ONLY,TargetOn,No Byte Sent
