Time,TrialID,Event,Code
13:57:32.078,PRACTICE,StartEndBlock,8
13:57:32.080,PRACTICE,TrialOn,1
13:57:34.074,PRACTICE,SampleOn,2
13:57:34.574,PRACTICE,SampleOff,3
13:57:35.078,PRACTICE,DistractorOn,4
13:57:35.582,PRACTICE,DistractorOff,5
13:57:37.583,PRACTICE,TargetOn,6
13:57:37.728,PRACTICE,Choice,7
13:57:40.964,PRACTICE,TrialOn,1
13:57:42.966,PRACTICE,SampleOn,2
13:57:43.466,PRACTICE,SampleOff,3
13:57:43.970,PRACTICE,DistractorOn,4
13:57:44.473,PRACTICE,DistractorOff,5
13:57:46.474,PRACTICE,TargetOn,6
13:57:46.603,PRACTICE,Choice,7
13:57:50.246,PRACTICE,TrialOn,1
13:57:52.250,PRACTICE,SampleOn,2
13:57:52.753,PRACTICE,SampleOff,3
13:57:53.258,PRACTICE,DistractorOn,4
13:57:53.761,PRACTICE,DistractorOff,5
13:57:55.765,PRACTICE,TargetOn,6
13:57:55.770,PRACTICE,Choice,7
